ID,name,N_e,nu,p_e,p_z,N_max,delta,D_czvt,D_czb,group,63,140,250,500,1000,2000,4000,8000,S_n,D_c
0,6ЧРПН 36/45 (Г60),662,378,"0,77",6.9,52900,0.0003,34500,119600,1,96,91,89,96,92,94,78,61,0.45,1
1,8NVD36,220,360,"0,56",5.1,17100,0.000228,13610,119600,1,77,72,71,70,70,67,54,53,0.36,1
2,8NVD36A,309,378,"0,76",6.3,23210,0.0004,13610,81780,1,88,78,74,78,74,74,62,56,0.36,1
3,8NVD48A,736,378,"0,76",5.9,41260,0.0003,34500,94670,1,94,87,87,92,89,89,60,60,0.48,1
4,8NVD48,493,350,"0,55",5.1,29860,0.0004,17660,81780,1,98,87,83,81,78,73,60,60,0.48,1
5,6NVD48AИ,486,340,"0,76",5.5,41260,0.0003,41870,124400,1,89,85,81,83,83,78,60,57,0.48,1
6,6NVD48,368,350,"0,54",5.1,29310,0.00036,41870,108800,1,90,84,82,88,84,82,58,56,0.48,1
7,6ЧРПН 36/45 Г(70-5),736,350,"0,92",7.4,63210,0.0003,34500,165500,1,94,104,101,99,91,80,66,64,0.45,1
8,8NVD36,294,500,"0,54",5.1,16490,0.0002,13610,81780,2,94,88,84,84,79,76,66,56,0.36,1
9,6L278Rr,276,500,"0,52",5.1,20850,0.0003,7452,34500,2,96,90,90,87,87,89,63,51,0.36,1
10,6L278PN,515,600,"0,82",6.9,13570,0.00032,7452,34500,2,95,90,91,91,90,86,80,50,0.35,1
11,6ЧНСП 25/34,"341,2",500,"0,79",6.9,26180,0.0002,70110,276000,2,92,91,88,90,89,90,87,70,0.34,1
12,6ЧНП 25/34,220,500,"0,53",5.7,17560,0.00048,70110,276000,2,96,88,88,91,104,81,77,66,0.34,1
13,6ЧСПН 15/18 (3Д6Н),"220,8",780,"0,82",7.4,14080,0.00045,2208,17660,3,105,104,101,102,102,98,90,72,0.22,1
14,6ЧНСП 18/22,"165,6",780,"0,79",7.1,13570,0.0004,10220,22460,3,98,95,94,101,98,91,80,70,0.22,1
15,6ЧСП 18/22,110,780,"0,53",5.6,9104,0.0004,7452,15550,3,104,93,92,101,95,86,78,64,0.22,1
16,6NVD26,"132,4",780,"0,54",5.9,9275,0.00036,22460,41870,3,86,80,79,79,82,80,60,50,0.26,1
17,6L160PNS,140,780,"0,82",7.4,11130,0.0003,9621,13610,3,98,90,85,86,92,88,61,58,0.225,1
18,6ЧСПН 12/14 (К-558-2),92,1700,"0,69",7.3,5268,0.0003,2208,34500,4,107,107,100,96,92,96,72,74,0.18,1
19,6ЧСПН 12/14 (К-461-1),59,1500,"0,54",5.9,4122,0.0004,2813,34500,4,106,104,94,100,103,99,86,72,0.14,1
20,12ЧСП 15/18 (3Д12Н),"220,8",1500,"0,5",7.4,5964,0.0002,2813,50200,4,108,108,103,106,107,103,90,77,0.14,1
21,12ЧСП 15/18 (3Д12),"220,8",1500,"0,45",7.4,5368,0.0002,1885,41870,4,110,111,107,109,107,101,93,80,0.18,1
22,6ЧСПН 15/18,"173,6",1500,"0,72",7.8,8588,0.0002,13610,41870,4,105,103,102,108,104,104,85,74,0.18,1
23,6ЧСП 15/18 (3Д6),"110,4",1000,"0,69",7.8,8230,0.0003,59620,10220,4,109,104,110,111,105,99,90,72,0.18,1
